ID	Out101	Out102	Out103	On101	On102	On103	In101	In102	In103
OTU_1195	19.0	18.0	20.0	10.0	20.0	12.0	17.0	21.0	23.0
OTU_102	37.0	21.0	36.0	31.0	32.0	31.0	19.0	29.0	36.0
OTU_67	81.0	66.0	63.0	109.0	161.0	112.0	50.0	79.0	95.0
OTU_37	69.0	43.0	79.0	44.0	73.0	71.0	44.0	81.0	110.0
OTU_270	8.0	7.0	13.0	15.0	19.0	20.0	15.0	13.0	16.0
OTU_370	6.0	7.0	3.0	7.0	3.0	3.0	8.0	7.0	8.0
OTU_469	4.0	1.0	1.0	4.0	4.0	5.0	6.0	4.0	11.0
OTU_313	9.0	15.0	17.0	13.0	21.0	14.0	12.0	16.0	22.0
OTU_775	0.0	1.0	1.0	5.0	3.0	1.0	2.0	1.0	1.0
OTU_557	3.0	4.0	0.0	0.0	2.0	0.0	2.0	1.0	2.0
OTU_1664	0.0	0.0	0.0	0.0	0.0	2.0	3.0	1.0	1.0
OTU_919	7.0	2.0	2.0	4.0	4.0	2.0	2.0	2.0	8.0
OTU_544	22.0	8.0	18.0	13.0	17.0	13.0	5.0	12.0	10.0
OTU_74	20.0	9.0	19.0	12.0	22.0	20.0	15.0	18.0	15.0
OTU_83	24.0	28.0	45.0	41.0	59.0	46.0	29.0	48.0	88.0
OTU_414	8.0	3.0	10.0	7.0	6.0	4.0	6.0	6.0	5.0
OTU_133	16.0	11.0	44.0	9.0	10.0	24.0	9.0	13.0	13.0
OTU_184	23.0	24.0	33.0	31.0	34.0	24.0	21.0	31.0	48.0
OTU_337	1.0	10.0	6.0	1.0	1.0	2.0	7.0	0.0	6.0
OTU_22	105.0	33.0	143.0	110.0	129.0	44.0	30.0	30.0	68.0
OTU_328	5.0	6.0	6.0	8.0	19.0	11.0	4.0	3.0	9.0
OTU_385	13.0	11.0	13.0	7.0	10.0	8.0	14.0	19.0	17.0
OTU_197	14.0	15.0	19.0	24.0	23.0	12.0	9.0	26.0	36.0
OTU_244	7.0	11.0	17.0	11.0	19.0	16.0	14.0	17.0	25.0
OTU_400	4.0	3.0	7.0	5.0	6.0	2.0	2.0	0.0	4.0
OTU_1662	0.0	1.0	2.0	2.0	2.0	1.0	4.0	3.0	4.0
OTU_505	5.0	1.0	3.0	2.0	5.0	5.0	3.0	5.0	3.0
OTU_920	4.0	1.0	9.0	1.0	10.0	2.0	1.0	2.0	2.0
OTU_65	11.0	16.0	35.0	17.0	19.0	18.0	15.0	20.0	33.0
OTU_175	23.0	8.0	42.0	28.0	31.0	20.0	18.0	23.0	10.0
OTU_317	5.0	4.0	12.0	6.0	9.0	12.0	11.0	10.0	12.0
OTU_161	46.0	45.0	73.0	56.0	59.0	40.0	46.0	84.0	94.0
OTU_39	47.0	48.0	61.0	52.0	45.0	42.0	46.0	37.0	62.0
OTU_1007	2.0	0.0	2.0	1.0	2.0	0.0	2.0	0.0	3.0
OTU_280	1.0	0.0	2.0	2.0	1.0	0.0	6.0	9.0	10.0
OTU_234	24.0	11.0	40.0	37.0	33.0	15.0	8.0	7.0	16.0
OTU_606	18.0	6.0	15.0	8.0	18.0	2.0	13.0	2.0	16.0
OTU_1106	1.0	2.0	1.0	1.0	1.0	1.0	2.0	0.0	2.0
OTU_69	25.0	26.0	24.0	24.0	39.0	25.0	17.0	35.0	38.0
OTU_1164	1.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	1.0
OTU_442	6.0	2.0	5.0	1.0	2.0	2.0	2.0	1.0	3.0
OTU_429	16.0	18.0	30.0	25.0	31.0	12.0	14.0	25.0	39.0
OTU_722	13.0	13.0	21.0	14.0	12.0	6.0	8.0	10.0	18.0
OTU_89	18.0	12.0	33.0	14.0	15.0	18.0	16.0	22.0	33.0
OTU_227	6.0	0.0	7.0	11.0	17.0	2.0	6.0	7.0	6.0
OTU_135	48.0	7.0	48.0	34.0	36.0	19.0	17.0	12.0	18.0
OTU_183	37.0	17.0	75.0	36.0	36.0	58.0	26.0	29.0	30.0
OTU_23	134.0	63.0	126.0	71.0	85.0	76.0	62.0	87.0	139.0
OTU_125	16.0	20.0	21.0	22.0	24.0	24.0	9.0	25.0	20.0
OTU_42	33.0	26.0	46.0	35.0	51.0	45.0	23.0	37.0	37.0
OTU_1037	10.0	4.0	11.0	4.0	4.0	2.0	7.0	5.0	9.0
OTU_590	6.0	3.0	3.0	4.0	3.0	1.0	1.0	2.0	6.0
OTU_1278	1.0	1.0	0.0	1.0	0.0	0.0	4.0	1.0	1.0
OTU_204	19.0	8.0	17.0	9.0	12.0	15.0	8.0	13.0	23.0
OTU_329	17.0	17.0	21.0	18.0	27.0	23.0	8.0	20.0	17.0
OTU_567	5.0	1.0	1.0	1.0	1.0	4.0	3.0	10.0	4.0
OTU_580	7.0	7.0	6.0	6.0	8.0	8.0	3.0	7.0	14.0
OTU_291	0.0	4.0	6.0	4.0	3.0	3.0	7.0	1.0	9.0
OTU_569	1.0	1.0	0.0	4.0	2.0	6.0	2.0	1.0	1.0
OTU_700	5.0	5.0	6.0	2.0	4.0	1.0	3.0	5.0	6.0
OTU_40	51.0	21.0	49.0	26.0	26.0	24.0	35.0	37.0	43.0
OTU_684	4.0	3.0	12.0	6.0	5.0	9.0	2.0	3.0	8.0
OTU_733	2.0	0.0	0.0	0.0	2.0	0.0	2.0	2.0	4.0
OTU_761	3.0	3.0	6.0	1.0	2.0	2.0	3.0	3.0	1.0
OTU_105	11.0	18.0	20.0	19.0	26.0	13.0	18.0	19.0	27.0
OTU_106	48.0	41.0	73.0	52.0	71.0	49.0	26.0	30.0	61.0
OTU_1624	1.0	0.0	7.0	5.0	1.0	1.0	3.0	1.0	2.0
OTU_77	43.0	42.0	106.0	54.0	74.0	46.0	43.0	28.0	99.0
OTU_7	203.0	159.0	227.0	160.0	211.0	156.0	141.0	204.0	283.0
OTU_1268	0.0	0.0	0.0	2.0	3.0	0.0	4.0	1.0	1.0
OTU_115	15.0	8.0	22.0	18.0	13.0	10.0	8.0	13.0	26.0
OTU_316	15.0	12.0	17.0	17.0	23.0	13.0	11.0	8.0	28.0
OTU_54	37.0	50.0	53.0	34.0	55.0	43.0	22.0	48.0	39.0
OTU_221	18.0	12.0	34.0	23.0	36.0	34.0	30.0	23.0	54.0
OTU_82	81.0	49.0	76.0	62.0	60.0	34.0	47.0	73.0	95.0
OTU_618	1.0	2.0	2.0	16.0	14.0	9.0	5.0	3.0	10.0
OTU_90	10.0	20.0	28.0	43.0	52.0	26.0	9.0	16.0	16.0
OTU_1220	5.0	0.0	1.0	5.0	2.0	1.0	2.0	1.0	0.0
OTU_576	1.0	1.0	3.0	1.0	1.0	2.0	1.0	1.0	4.0
OTU_24	43.0	29.0	60.0	38.0	53.0	42.0	29.0	53.0	82.0
OTU_198	16.0	19.0	33.0	16.0	20.0	19.0	16.0	22.0	17.0
OTU_715	8.0	6.0	18.0	10.0	11.0	8.0	3.0	8.0	11.0
